Plate	Plate.Date	Sort.Date	Production.Date	Internal.Index	External.Index	Sequencing.Dates	Amp.Batch.ID	Seq.Batch.ID	Batch.Set.ID
lin_trace_p2_exp1	16/07/20	27/07/20	14/09/20	2	5B	201101	lin_trace_p2_exp1	201101	lin_trace_p2_exp1
lin_trace_p3_exp1	16/07/20	27/07/20	14/09/20	3	5C	201101	lin_trace_p3_exp1	201101	lin_trace_p3_exp1
lin_trace_p4_exp1	16/07/20	27/07/20	14/09/20	4	5D	201101	lin_trace_p4_exp1	201101	lin_trace_p4_exp1
lin_trace_p5_exp1	16/07/20	27/07/20	14/09/20	5	5E	201101	lin_trace_p5_exp1	201101	lin_trace_p5_exp1
lin_trace_p6_exp1	16/07/20	27/07/20	14/09/20	6	5F	201101	lin_trace_p6_exp1	201101	lin_trace_p6_exp1
lin_trace_p7_exp1	16/07/20	27/07/20	14/09/20	7	5G	201101	lin_trace_p7_exp1	201101	lin_trace_p7_exp1
lin_trace_p9_exp1	16/07/20	27/07/20	15/09/20	9	5A	201101	lin_trace_p9_exp1	201101	lin_trace_p9_exp1
P1_EXE16_E6.5	12/16/2019	1/19/2020	1/22/2020	2	4E	200212|200719	P1_EXE16_E6.5	200212|200719	P1_EXE16_E6.5
P2_EXE16_E6.5	12/16/2019	1/19/2020	1/22/2020	3	4E	200212	P2_EXE16_E6.5	200212	P2_EXE16_E6.5
P3_EXE16_E6.5_NOVA	16/12/19	19/01/20	22/01/20	4	3B	201101	P3_EXE16_E6.5_NOVA	201101	P3_EXE16_E6.5_NOVA
P4_EXE16_E6.5	12/24/2019	1/19/2020	1/22/2020	5	4F	200212|200719	P4_EXE16_E6.5	200212|200719	P4_EXE16_E6.5
roni2_e_001	08/11/20	10/11/2020	23/11/20	12	4D	201214	roni2_e_001	201214	roni2_e_001
roni2_e_002	08/11/20	10/11/2020	23/11/20	13	4E	201214	roni2_e_002	201214	roni2_e_002
roni2_p	05/11/20	10/11/2020	23/11/20	14	4F	201214	roni2_p	201214	roni2_p
roni2e	08/11/20	10/11/2020	23/11/20	11	4C	201214	roni2e	201214	roni2e
EXE29_P1	03/06/21	23/06/21	19/09/21	1	1A	211031	EXE29_P1	211031	EXE29_P1
EXE29_P2	03/06/21	23/06/21	19/09/21	2	1B	211031	EXE29_P2	211031	EXE29_P2
EXE31_p1	12/01/21	12/07/21	19/09/21	3	1C	211031	EXE31_p1	211031	EXE31_p1
EXE30_P1	03/06/21	30/06/21	23/09/21	9	2A	211031	EXE30_P1	211031	EXE30_P1
EXE33_P1	30/08/21	13/10/21	13/10/21	26	6H	211031	EXE33_P1	211031	EXE33_P1
